,title,genres,average_rating,domestic_gross,foreign_gross,year,total_gross
126,Kill the Messenger,"Biography,Crime,Drama",7.0,2500000.0,18900000.0,2014,21400000.0
127,Henry's Crime,"Comedy,Crime,Drama",6.0,103000.0,102000.0,2011,205000.0
128,African Cats,"Adventure,Documentary",7.6,15400000.0,15400000.0,2011,30800000.0
129,A Late Quartet,"Drama,Music",7.1,1600000.0,18900000.0,2012,20500000.0
130,Beautiful Boy,"Biography,Drama",7.3,77200.0,18900000.0,2011,18977200.0
131,Beautiful Boy,Drama,6.6,77200.0,18900000.0,2011,18977200.0
132,Let Me In,"Drama,Fantasy,Horror",7.1,12100000.0,12000000.0,2010,24100000.0
133,Let Me In,Horror,5.1,12100000.0,12000000.0,2010,24100000.0
134,Jane Eyre,"Drama,Romance",7.4,11200000.0,23500000.0,2011,34700000.0
135,Collide,Action,5.5,2300000.0,2500000.0,2017,4800000.0
136,Collide,"Action,Crime,Thriller",5.7,2300000.0,2500000.0,2017,4800000.0
137,A Good Old Fashioned Orgy,"Comedy,Romance",6.2,200000.0,18900000.0,2011,19100000.0
138,Brighton Rock,"Crime,Drama,Thriller",5.7,230000.0,1600000.0,2011,1830000.0
139,Greenberg,"Comedy,Drama,Romance",6.1,4200000.0,1900000.0,2010,6100000.0
140,The Future,"Drama,Fantasy,Romance",6.2,569000.0,18900000.0,2011,19469000.0
141,Wild Target,"Action,Comedy,Crime",6.8,109000.0,3300000.0,2010,3409000.0
142,Chico & Rita,"Animation,Crime,Drama",7.2,351000.0,1900000.0,2012,2251000.0
143,Mysteries of Lisbon,"Drama,Mystery,Romance",7.5,111000.0,14900.0,2011,125900.0
144,I Spit on Your Grave,"Horror,Thriller",6.3,93100.0,480000.0,2010,573100.0
145,We Need to Talk About Kevin,"Drama,Mystery,Thriller",7.5,1700000.0,4300000.0,2011,6000000.0
146,Bellflower,"Action,Drama,Romance",6.4,168000.0,18900000.0,2011,19068000.0
147,Extraordinary Measures,Drama,6.5,12100000.0,3100000.0,2010,15200000.0
148,Conviction,"Biography,Crime,Drama",7.2,6800000.0,2900000.0,2010,9700000.0
149,Conviction,Drama,7.0,6800000.0,2900000.0,2010,9700000.0
150,High School,Comedy,5.8,139000.0,18900000.0,2012,19039000.0
151,Serena,"Drama,History,Romance",5.4,176000.0,4900000.0,2015,5076000.0
152,Serena,"Biography,Documentary,Sport",6.7,176000.0,4900000.0,2015,5076000.0
153,The Man with the Iron Fists,Action,5.4,15600000.0,4099999.0,2012,19699999.0
154,Take Me Home,"Comedy,Romance",6.8,15800.0,18900000.0,2012,18915800.0
155,Take Me Home,Horror,5.6,15800.0,18900000.0,2012,18915800.0
156,Waste Land,Documentary,7.9,188000.0,88700.0,2010,276700.0
157,Waste Land,"Drama,Thriller",5.5,188000.0,88700.0,2010,276700.0
158,The Devil's Double,"Biography,Drama,Thriller",7.1,1400000.0,18900000.0,2011,20300000.0
159,Norwegian Wood,"Drama,Romance",6.4,13000.0,17600000.0,2012,17613000.0
160,The Tempest,"Comedy,Drama,Fantasy",5.4,278000.0,68700.0,2010,346700.0
161,The Tempest,Drama,7.8,278000.0,68700.0,2010,346700.0
162,The Tempest,"Comedy,Drama",8.5,278000.0,68700.0,2010,346700.0
163,A Royal Affair,"Biography,Drama,History",7.6,1500000.0,6000000.0,2012,7500000.0
164,Jack Goes Boating,"Drama,Romance",6.4,542000.0,77600.0,2010,619600.0
165,Don 2,"Action,Crime,Thriller",7.1,3700000.0,18900000.0,2011,22600000.0
166,Poetry,Drama,7.8,356000.0,1900000.0,2011,2256000.0
167,Raajneeti,"Crime,Drama",7.2,1500000.0,11100000.0,2010,12600000.0
168,Solace,"Crime,Drama,Mystery",6.4,1400000.0,22400000.0,2016,23800000.0
169,Solace,Thriller,7.2,1400000.0,22400000.0,2016,23800000.0
170,Solace,Drama,4.9,1400000.0,22400000.0,2016,23800000.0
171,Warrior,"Drama,Sport",8.2,13700000.0,9400000.0,2011,23100000.0
172,Casting By,Documentary,7.6,18200.0,18900000.0,2013,18918200.0
173,As Good as Dead,"Crime,Thriller",5.2,2000.0,53600.0,2010,55600.0
174,Last Night,"Drama,Romance",6.6,99000.0,7600000.0,2011,7699000.0
175,Last Night,"Comedy,Drama,Romance",7.3,99000.0,7600000.0,2011,7699000.0
176,Last Night,Comedy,4.5,99000.0,7600000.0,2011,7699000.0
177,Last Night,Drama,6.8,99000.0,7600000.0,2011,7699000.0
178,Seeking a Friend for the End of the World,"Adventure,Comedy,Drama",6.7,7100000.0,2600000.0,2012,9700000.0
179,The Taqwacores,"Drama,Music",6.1,11400.0,18900000.0,2010,18911400.0
180,Bullet to the Head,"Action,Crime,Thriller",5.7,9500000.0,18900000.0,2013,28400000.0
181,Kill Your Darlings,"Biography,Drama,Romance",6.5,1000000.0,18900000.0,2013,19900000.0
182,The Human Resources Manager,"Comedy,Drama",6.6,64000.0,329000.0,2011,393000.0
183,Animal Kingdom,"Crime,Drama",7.3,1000000.0,5700000.0,2010,6700000.0
184,The Oranges,"Comedy,Drama,Romance",5.9,366000.0,18900000.0,2012,19266000.0
185,The Housemaid,"Drama,Thriller",6.5,158000.0,14600000.0,2011,14758000.0
186,The Housemaid,"Horror,Romance",5.8,158000.0,14600000.0,2011,14758000.0
187,Cherry,"Comedy,Drama",6.8,11400.0,18900000.0,2010,18911400.0
188,The Turin Horse,Drama,7.8,56400.0,18900000.0,2012,18956400.0
189,There Be Dragons,"Biography,Drama,War",5.8,1100000.0,18900000.0,2011,20000000.0
190,Wrecked,"Adventure,Drama,Mystery",5.3,8000.0,18900000.0,2011,18908000.0
191,It's a Wonderful Afterlife,"Comedy,Drama,Fantasy",5.4,1400000.0,1300000.0,2010,2700000.0
192,The Interrupters,"Crime,Documentary",7.5,282000.0,18900000.0,2011,19182000.0
193,Burke and Hare,"Comedy,Crime,History",6.2,4800.0,4300000.0,2011,4304800.0
194,The Beaver,Drama,6.7,971000.0,6300000.0,2011,7271000.0
195,Sunshine Superman,"Biography,Documentary,Sport",6.9,88100.0,18900000.0,2015,18988100.0
196,The Mill and the Cross,"Drama,History",7.0,312000.0,30300.0,2011,342300.0
197,Cyrus,"Crime,Horror,Mystery",4.7,7500000.0,2500000.0,2010,10000000.0
198,Cyrus,"Comedy,Drama,Romance",6.3,7500000.0,2500000.0,2010,10000000.0
199,Gainsbourg: A Heroic Life,"Biography,Drama,Music",6.9,233000.0,12000000.0,2011,12233000.0
200,King of Devil's Island,"Action,Drama",7.5,7600.0,4200000.0,2011,4207600.0
201,Movie 43,Comedy,4.3,8800000.0,23600000.0,2013,32400000.0
202,Never Let Me Go,"Drama,Romance,Sci-Fi",7.1,2400000.0,7000000.0,2010,9400000.0
203,Raavan,"Action,Adventure,Crime",5.4,709000.0,648000.0,2010,1357000.0
204,The Robber,"Biography,Crime,Drama",6.8,83500.0,125000.0,2011,208500.0
205,In a Better World,"Drama,Romance",7.6,1000000.0,8600000.0,2011,9600000.0
206,Four Lions,"Comedy,Crime,Drama",7.3,305000.0,4400000.0,2010,4705000.0
207,Ceremony,"Comedy,Romance",5.5,22300.0,18900000.0,2011,18922300.0
208,Dredd,"Action,Crime,Sci-Fi",7.1,13400000.0,22200000.0,2012,35600000.0
209,Reuniting the Rubins,"Comedy,Drama,Family",5.3,13600.0,18900000.0,2012,18913600.0
210,Butter,"Comedy,Drama",6.2,105000.0,70700.0,2012,175700.0
211,The Infiltrator,"Biography,Crime,Drama",7.0,15400000.0,18900000.0,2016,34300000.0
212,The Rabbi's Cat,"Animation,Comedy,Fantasy",7.2,23400.0,3700000.0,2012,3723400.0
213,I'm Still Here,"Comedy,Drama,Music",6.2,409000.0,160000.0,2010,569000.0
214,I'm Still Here,Documentary,7.1,409000.0,160000.0,2010,569000.0
215,I'm Still Here,"Drama,Romance,Thriller",7.0,409000.0,160000.0,2010,569000.0
216,The Extra Man,Comedy,5.9,453000.0,4500.0,2010,457500.0
217,The Silence,"Crime,Drama,Thriller",7.0,100000.0,132000.0,2013,232000.0
218,The Silence,Drama,7.3,100000.0,132000.0,2013,232000.0
219,The Silence,"Horror,Thriller",5.2,100000.0,132000.0,2013,232000.0
220,Main Street,Drama,4.7,2600.0,18900000.0,2011,18902600.0
