,id,rating,director,year,box_office,genre
986,1279,PG,Paul Feig,2006,16614132,Comedy
995,1288,PG,Steve Carr,2009,146336178,Comedy
999,1292,R,Lisa Cholodenko,2003,3596939,Art House and International
1001,1295,PG,Robert Stromberg,2014,190871149,Science Fiction and Fantasy
1007,1305,PG,Steve Oedekerk,2006,72601713,Animation
1008,1307,PG-13,Sacha Gervasi,2012,6002708,Drama
1016,1317,PG-13,Joe Roth,2001,93008426,Comedy
1019,1320,R,Curtis Hanson,2002,116638030,Drama
1020,1321,PG-13,Tate Taylor,2014,22838662,Drama
1030,1334,PG-13,Youssef Delara,2016,320676,Comedy
1033,1337,PG-13,Paul Weitz,2006,7156725,Comedy
1035,1339,PG,Eleanor Coppola,2017,5617321,Comedy
1036,1340,PG-13,Brian Robbins,2004,10279192,Comedy
1037,1341,PG,Brian Levant,2002,81110575,Action and Adventure
1038,1342,PG,Uli Edel|Ulrich Edel,2000,13432508,Action and Adventure
1054,1362,PG-13,Mike Binder,2015,15504419,Drama
1066,1376,PG-13,Peter Billingsley,2009,109176215,Comedy
1071,1381,R,Judd Apatow,2007,148734225,Comedy
1073,1383,PG,Walt Becker,2015,66580191,Animation
1087,1398,PG,David Nixon|Patrick Doughtie,2010,1121000,Drama
1088,1399,R,Trey Edward Shults,2017,13985117,Drama
1102,1418,G,Peter Lord|Nick Park,2000,106604314,Action and Adventure
1104,1420,R,Miguel Arteta,2002,13737564,Comedy
1106,1424,PG-13,Andrew Stanton|Mark Atkins,2012,73058679,Action and Adventure
1117,1442,PG,Chris Columbus,2002,261835892,Kids and Family
1121,1446,PG-13,Jay Roach,2000,164454835,Comedy
1134,1463,R,Kevin Smith,2001,29885424,Comedy
1145,1475,PG,David Bowers,2009,19548064,Action and Adventure
1151,1483,R,Jocelyn Moorhouse,2016,2021399,Drama
1154,1486,NR,Louis Malle,1958,109257,Art House and International
1156,1488,G,Ben Stassen,2008,13592311,Animation
1159,1492,PG-13,Michael Salomon|Mikael Salomon,2008,586242,Comedy
1161,1494,R,David Fincher,2011,102515793,Drama
1163,1496,PG-13,Rob Marshall,2005,57000000,Drama
1173,1507,PG,Fred Savage,2007,13155823,Comedy
1178,1512,R,Paul Verhoeven,1990,119000000,Action and Adventure
1182,1517,PG,Barry Levinson,2006,37442180,Comedy
1185,1520,PG-13,Shana Feste,2011,20218921,Drama
1187,1523,PG-13,Steven Soderbergh,2017,27696504,Comedy
1188,1525,PG-13,Sam Mendes,2012,299300000,Action and Adventure
1190,1527,PG-13,Donald Petrie,2004,14244145,Comedy
1191,1528,R,Dan Mazer,2013,5851913,Art House and International
1197,1535,PG-13,John Singleton,2003,127083765,Action and Adventure
1202,1542,R,Jonathan Liebesman,2006,39418953,Horror
1203,1545,PG-13,Joe Wright,2009,31670931,Drama
