,title,genres,average_rating,domestic_gross,foreign_gross,year,total_gross
97,Jack and Jill,Comedy,3.3,"$74,200,000.00","$75,500,000.00",2011,"$149,700,000.00"
98,Take Me Home Tonight,"Comedy,Drama,Romance",6.3,"$6,900,000.00","$18,700,000.00",2011,"$25,600,000.00"
99,She's Out of My League,"Comedy,Romance",6.4,"$32,000,000.00","$17,800,000.00",2010,"$49,800,000.00"
100,The Book Thief,"Drama,War",7.6,"$21,500,000.00","$55,100,000.00",2013,"$76,600,000.00"
101,Interstellar,"Adventure,Drama,Sci-Fi",8.6,"$188,000,000.00","$489,400,000.00",2014,"$677,400,000.00"
102,World War Z,"Action,Adventure,Horror",7.0,"$202,400,000.00","$337,600,000.00",2013,"$540,000,000.00"
103,Flipped,"Comedy,Drama,Romance",7.7,"$1,800,000.00","$18,700,000.00",2010,"$20,500,000.00"
104,Flipped,"Drama,Thriller",6.0,"$1,800,000.00","$18,700,000.00",2010,"$20,500,000.00"
105,Valentine's Day,"Comedy,Romance",5.7,"$110,500,000.00","$106,000,000.00",2010,"$216,500,000.00"
106,Priest,"Action,Adventure,Fantasy",5.7,"$29,100,000.00","$49,200,000.00",2011,"$78,300,000.00"
107,Dracula Untold,"Action,Drama,Fantasy",6.3,"$56,300,000.00","$160,800,000.00",2014,"$217,100,000.00"
108,The Babymakers,Comedy,5.0,"$7,900.00","$18,700,000.00",2012,"$18,707,900.00"
109,Hotel Transylvania,"Animation,Comedy,Family",7.1,"$148,300,000.00","$210,100,000.00",2012,"$358,400,000.00"
110,The Town,"Crime,Drama,Thriller",7.6,"$92,200,000.00","$61,800,000.00",2010,"$154,000,000.00"
111,The Kids Are All Right,"Comedy,Drama,Romance",7.0,"$20,800,000.00","$13,900,000.00",2010,"$34,700,000.00"
112,Hoodwinked Too! Hood vs. Evil,"Animation,Comedy,Crime",4.8,"$10,100,000.00","$6,800,000.00",2011,"$16,900,000.00"
113,Epic,"Adventure,Animation,Family",6.7,"$107,500,000.00","$160,900,000.00",2013,"$268,400,000.00"
114,Risen,"Biography,Drama",5.3,"$36,900,000.00","$9,200,000.00",2016,"$46,100,000.00"
115,Risen,"Action,Adventure,Drama",6.3,"$36,900,000.00","$9,200,000.00",2016,"$46,100,000.00"
116,The Sweeney,"Action,Crime,Drama",6.1,"$26,700.00","$6,300,000.00",2013,"$6,326,700.00"
117,Evangelion: 3.0 You Can (Not) Redo,"Action,Animation,Drama",7.0,"$175,000.00","$60,300,000.00",2014,"$60,475,000.00"
118,Mr. Peabody & Sherman,"Adventure,Animation,Comedy",6.8,"$111,500,000.00","$164,200,000.00",2014,"$275,700,000.00"
119,My Soul to Take,"Horror,Mystery,Thriller",4.8,"$14,700,000.00","$6,200,000.00",2010,"$20,900,000.00"
120,Red State,"Action,Crime,Horror",6.2,"$1,100,000.00","$18,700,000.00",2011,"$19,800,000.00"
121,Please Give,"Comedy,Drama",6.6,"$4,000,000.00","$280,000.00",2010,"$4,280,000.00"
122,Eat Pray Love,"Drama,Romance",5.8,"$80,600,000.00","$124,000,000.00",2010,"$204,600,000.00"
123,Sanctum,"Adventure,Drama,Thriller",5.9,"$23,200,000.00","$85,400,000.00",2011,"$108,600,000.00"
124,Snitch,"Action,Drama,Thriller",6.5,"$42,900,000.00","$18,700,000.00",2013,"$61,600,000.00"
125,Legends of Oz: Dorothy's Return,"Adventure,Animation,Family",5.5,"$8,500,000.00","$10,200,000.00",2014,"$18,700,000.00"
126,The Wedding Ringer,Comedy,6.7,"$64,500,000.00","$15,300,000.00",2015,"$79,800,000.00"
127,The Switch,"Comedy,Drama,Romance",6.1,"$27,800,000.00","$22,100,000.00",2010,"$49,900,000.00"
128,Letters to Juliet,"Adventure,Comedy,Drama",6.6,"$53,000,000.00","$26,100,000.00",2010,"$79,100,000.00"
129,How to Train Your Dragon,"Action,Adventure,Animation",8.1,"$217,600,000.00","$277,300,000.00",2010,"$494,900,000.00"
130,Shrek Forever After,"Adventure,Animation,Comedy",6.3,"$238,700,000.00","$513,900,000.00",2010,"$752,600,000.00"
131,From Prada to Nada,"Comedy,Drama,Romance",5.6,"$3,000,000.00","$123,000.00",2011,"$3,123,000.00"
132,The Whistleblower,"Action,Biography,Crime",7.2,"$1,100,000.00","$18,700,000.00",2011,"$19,800,000.00"
133,The Hobbit: An Unexpected Journey,"Adventure,Family,Fantasy",7.9,"$303,000,000.00","$718,100,000.00",2012,"$1,021,100,000.00"
134,Love & Mercy,"Biography,Drama,Music",7.4,"$12,600,000.00","$16,100,000.00",2015,"$28,700,000.00"
135,The Legend of Tarzan,"Action,Adventure,Drama",6.3,"$126,600,000.00","$230,100,000.00",2016,"$356,700,000.00"
136,Rabbit Hole,Drama,7.0,"$2,200,000.00","$2,900,000.00",2010,"$5,100,000.00"
137,The Last Airbender,"Action,Adventure,Family",4.1,"$131,800,000.00","$187,900,000.00",2010,"$319,700,000.00"
138,Salt,"Action,Mystery,Thriller",6.4,"$118,300,000.00","$175,200,000.00",2010,"$293,500,000.00"
139,Source Code,"Action,Drama,Sci-Fi",7.5,"$54,700,000.00","$92,600,000.00",2011,"$147,300,000.00"
140,Black Swan,"Drama,Thriller",8.0,"$107,000,000.00","$222,400,000.00",2010,"$329,400,000.00"
141,Green Zone,"Action,Drama,Thriller",6.8,"$35,100,000.00","$59,800,000.00",2010,"$94,900,000.00"
142,The Amazing Spider-Man,"Action,Adventure,Sci-Fi",7.0,"$262,000,000.00","$495,900,000.00",2012,"$757,900,000.00"
143,The Killer Inside Me,"Crime,Drama,Horror",6.1,"$217,000.00","$3,800,000.00",2010,"$4,017,000.00"
144,Robin Hood,"Action,Adventure,Drama",6.6,"$105,300,000.00","$216,400,000.00",2010,"$321,700,000.00"
145,Robin Hood,"Action,Drama",6.3,"$105,300,000.00","$216,400,000.00",2010,"$321,700,000.00"
146,Robin Hood,"Action,Adventure,Thriller",5.3,"$105,300,000.00","$216,400,000.00",2010,"$321,700,000.00"
147,Robin Hood,Drama,7.6,"$105,300,000.00","$216,400,000.00",2010,"$321,700,000.00"
148,The Sorcerer's Apprentice,"Action,Adventure,Family",6.1,"$63,200,000.00","$152,100,000.00",2010,"$215,300,000.00"
149,The Fighter,"Biography,Drama,Sport",7.8,"$93,600,000.00","$35,600,000.00",2010,"$129,200,000.00"
150,The Conspirator,"Crime,Drama,History",6.9,"$11,500,000.00","$3,900,000.00",2011,"$15,400,000.00"
151,Hugo,"Adventure,Drama,Family",7.5,"$73,900,000.00","$111,900,000.00",2011,"$185,800,000.00"
152,Hugo,Documentary,7.9,"$73,900,000.00","$111,900,000.00",2011,"$185,800,000.00"
153,Little Fockers,"Comedy,Romance",5.5,"$148,400,000.00","$162,200,000.00",2010,"$310,600,000.00"
154,Justice League,"Action,Adventure,Fantasy",6.5,"$229,000,000.00","$428,900,000.00",2017,"$657,900,000.00"
155,Hitchcock,"Biography,Comedy,Drama",6.8,"$6,000,000.00","$17,600,000.00",2012,"$23,600,000.00"
156,Sucker Punch,"Action,Adventure,Fantasy",6.1,"$36,400,000.00","$53,400,000.00",2011,"$89,800,000.00"
157,The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure,Family,Fantasy",6.3,"$104,400,000.00","$311,300,000.00",2010,"$415,700,000.00"
158,The Adventures of Tintin,"Action,Adventure,Animation",7.3,"$77,600,000.00","$296,400,000.00",2011,"$374,000,000.00"
159,Machete,"Action,Crime,Thriller",6.6,"$26,600,000.00","$17,500,000.00",2010,"$44,100,000.00"
160,Dear John,"Drama,Romance,War",6.3,"$80,000,000.00","$35,000,000.00",2010,"$115,000,000.00"
161,The Green Hornet,"Action,Comedy,Crime",5.8,"$98,800,000.00","$129,000,000.00",2011,"$227,800,000.00"
162,Hanna,"Action,Drama,Thriller",6.8,"$40,300,000.00","$23,500,000.00",2011,"$63,800,000.00"
163,The Wolf of Wall Street,"Biography,Crime,Drama",8.2,"$116,900,000.00","$275,100,000.00",2013,"$392,000,000.00"
164,Megamind,"Action,Animation,Comedy",7.3,"$148,400,000.00","$173,500,000.00",2010,"$321,900,000.00"
165,The Young Messiah,"Drama,Fantasy",5.6,"$6,500,000.00","$18,700,000.00",2016,"$25,200,000.00"
166,The Iron Lady,"Biography,Drama",6.4,"$30,000,000.00","$84,900,000.00",2011,"$114,900,000.00"
167,The Little Prince,Action,8.3,"$1,300,000.00","$96,200,000.00",2016,"$97,500,000.00"
168,The Little Prince,"Adventure,Animation,Drama",7.7,"$1,300,000.00","$96,200,000.00",2016,"$97,500,000.00"
169,The Little Prince,Documentary,7.8,"$1,300,000.00","$96,200,000.00",2016,"$97,500,000.00"
170,Dylan Dog: Dead of Night,"Action,Comedy,Crime",5.1,"$1,200,000.00","$3,400,000.00",2011,"$4,600,000.00"
171,Child 44,"Crime,Drama,History",6.5,"$1,200,000.00","$11,700,000.00",2015,"$12,900,000.00"
172,The Runaways,"Biography,Drama,Music",6.6,"$3,600,000.00","$1,100,000.00",2010,"$4,700,000.00"
173,The Runaways,Adventure,9.2,"$3,600,000.00","$1,100,000.00",2010,"$4,700,000.00"
174,Selma,"Biography,Drama,History",7.5,"$52,100,000.00","$14,700,000.00",2014,"$66,800,000.00"
