,id,rating,director,theater_date,box_office,studio,genre
857,1106,NR,George Melford|George Fitzmaurice,1921,20900803,Universal Pictures,Classics
858,1108,R,Rob Schmidt,2003,15176515,20th Century Fox Distribution,Horror
859,1110,NR,Emile de Antonio|Dan Talbot,1964,20900803,Universal Pictures,Documentary
860,1112,PG,Hirokazu Koreeda,2016,466986,Sony Pictures Classics,Drama
861,1113,R,George Gallo,2010,723714,Paramount Pictures,Comedy
862,1114,R,Steven Spielberg,2017,115088305,Universal Pictures,Comedy
863,1115,NR,Jeffrey Lau,1987,20900803,Universal Pictures,Action and Adventure
864,1116,R,Dennis Hopper,1994,20900803,Universal Pictures,Comedy
865,1119,NR,Fritz Lang,1956,20900803,Universal Pictures,Drama
866,1120,NR,Steno,1987,20900803,Universal Pictures,Comedy
867,1121,PG,Peter Yates,1972,20900803,Universal Pictures,Action and Adventure
868,1122,R,Lynn Shelton,2013,35966,Magnolia Pictures,Drama
869,1123,PG,Jim Sharman,1981,20900803,20th Century Fox,Comedy
870,1125,NR,Steven Spielberg,1987,20900803,Universal Pictures,Art House and International
871,1126,NR,Irving Rapper,1942,20900803,Universal Pictures,Classics
872,1128,R,Stanley Donen,1984,20900803,Universal Pictures,Comedy
873,1131,NR,Steven Spielberg,1987,20900803,Universal Pictures,Comedy
874,1132,R,Albert Pyun,1986,20900803,Universal Pictures,Action and Adventure
875,1133,R,Michael Fields,1991,20900803,Universal Pictures,Drama
876,1134,R,Rainer Werner Fassbinder,1987,20900803,Universal Pictures,Documentary
877,1136,PG-13,Peter Jackson,2012,303001229,Warner Bros.,Action and Adventure
878,1137,NR,Douglas Sirk,1957,20900803,Universal Pictures,Classics
879,1138,PG-13,Michael Urie,2013,20900803,Gravitas Ventures,Comedy
880,1140,R,Jeff Tremaine,2002,64209101,Paramount Pictures,Comedy
881,1141,R,Richard Lang,1987,20900803,Universal Pictures,Action and Adventure
882,1143,PG,Paul Feig,2004,252018,Lions Gate Films,Drama
883,1144,PG-13,Neal Slavin,2001,20900803,Paramount Classics,Drama
884,1145,PG-13,Mel Brooks,1991,20900803,Universal Pictures,Comedy
885,1146,NR,Francisco Regueiro,1987,20900803,Universal Pictures,Art House and International
886,1147,NR,Scott Dikkers,1987,20900803,Universal Pictures,Comedy
887,1148,PG,Bill Forsyth,1987,20900803,Universal Pictures,Comedy
